year,gmst
1879,-0.1683333
1880,-0.1275
1881,-0.1213889
1882,-0.1347917
1883,-0.16375
1884,-0.225625
1885,-0.276875
1886,-0.3241667
1887,-0.29625
1888,-0.2391667
1889,-0.2489583
1890,-0.21375
1891,-0.2383333
1892,-0.289375
1893,-0.27625
1894,-0.27625
1895,-0.235625
1896,-0.1839583
1897,-0.1766667
1898,-0.1635417
1899,-0.1552083
1900,-0.1666667
1901,-0.1677083
1902,-0.216875
1903,-0.3152083
1904,-0.3429167
1905,-0.3289583
1906,-0.3333333
1907,-0.3225
1908,-0.378125
1909,-0.4320833
1910,-0.446875
1911,-0.4320833
1912,-0.3964583
1913,-0.3239583
1914,-0.246875
1915,-0.2447917
1916,-0.2739583
1917,-0.310625
1918,-0.345
1919,-0.3227083
1920,-0.2541667
1921,-0.250625
1922,-0.2470833
1923,-0.2466667
1924,-0.255
1925,-0.2114583
1926,-0.2
1927,-0.183125
1928,-0.2185417
1929,-0.2310417
1930,-0.1997917
1931,-0.1885417
1932,-0.1695833
1933,-0.160625
1934,-0.1870833
1935,-0.18375
1936,-0.119375
1937,-0.08916667
1938,-0.04395834
1939,0.02291666
1940,0.075625
1941,0.0925
1942,0.1189583
1943,0.1391667
1944,0.11625
1945,0.08145833
1946,0.05270833
1947,-0.02541666
1948,-0.07645833
1949,-0.1022917
1950,-0.11375
1951,-0.08479168
1952,-0.0375
1953,-0.02770834
1954,-0.04583333
1955,-0.09583333
1956,-0.10375
1957,-0.05479167
1958,-0.011875
1959,0.02916666
1960,0.03166667
1961,0.02375
1962,0.03
1963,-0.01333334
1964,-0.05458334
1965,-0.07666667
1966,-0.09645833
1967,-0.06770833
1968,-0.02791667
1969,-0.007083334
1970,-0.02166667
1971,0.001249999
1972,0.02791666
1973,0.003541663
1974,0.02041666
1975,-0.006458335
1976,-0.002083331
1977,0.03291667
1978,0.07770833
1979,0.166875
1980,0.2033333
1981,0.2208333
1982,0.2572917
1983,0.2320833
1984,0.180625
1985,0.1910417
1986,0.1935417
1987,0.2516667
1988,0.290625
1989,0.3570833
1990,0.378125
1991,0.3364583
1992,0.32625
1993,0.2933334
1994,0.3033333
1995,0.33125
1996,0.3891667
1997,0.4625
1998,0.4464583
1999,0.4614583
2000,0.4795833
2001,0.4845833
2002,0.5441667
2003,0.5789583
2004,0.61375
2005,0.61625
2006,0.6277084
2007,0.6297917
2008,0.6247917
2009,0.6464584
2010,0.6327084
2011,0.659375
2012,0.665
2013,0.6704167
2014,0.7422917
2015,0.834375
2016,0.8960417
2017,0.921875
2018,0.941875
2019,0.94125
2020,0.9222917
2021,0.9329167
2022,0.9696528
2023,0.955
2024,1.007083
2025,1.150221
2026,
2027,
2028,
2029,
2030,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,1.17
2041,
2042,
2043,
2044,
2045,1.27
2046,
2047,
2048,
2049,
2050,
2051,
2052,
2053,
2054,
2055,
2056,
2057,
2058,
2059,
2060,
2061,
2062,
2063,
2064,
2065,1.67
2066,
2067,
2068,
2069,
2070,1.77
2071,
2072,
2073,
2074,
2075,
2076,
2077,
2078,
2079,
2080,
2081,
2082,
2083,
2084,
2085,
2086,
2087,
2088,
2089,
2090,
2091,
2092,
2093,
2094,
2095,
2096,
2097,
2098,
2099,
2100,2.67
2101,
2102,
2103,
2104,
2105,2.77
2106,
2107,
2108,
2109,
2110,
2111,
2112,
2113,
2114,
2115,
2116,
2117,
2118,
2119,
2120,
2121,
2122,
2123,
2124,
2125,
2126,
2127,
2128,
2129,
2130,
2131,
2132,
2133,
2134,
2135,
2136,
2137,
2138,
2139,
2140,
2141,
2142,
2143,
2144,
2145,
2146,
2147,
2148,
2149,
2150,3.67
2151,
2152,
2153,
2154,
2155,3.77
