# contact :: CORDEX CAM-22_CNRM-CM5_r1i1p1_CRCM5 wet-season precipitation - Panama drought 2023, c.barnes22@imperial.ac.uk 
# pr [mm] annual mean of May-December precipitation in Lake Gatun region (lon -80.25:-79.25, lat 8.7:9.7) at panama_pr-rs_CAM-22_CNRM-CM5_r1i1p1_CRCM5.dat
# year pr
1950 2576.3535
1951 2612.3345
1952 2542.441
1953 2167.0818
1954 2382.0183
1955 2017.7589
1956 1964.2405
1957 2571.0452
1958 2220.3037
1959 2533.3843
1960 2228.976
1961 2314.1797
1962 1742.3997
1963 2377.6797
1964 2480.106
1965 2663.0957
1966 2173.9731
1967 2142.832
1968 2054.436
1969 2654.9468
1970 2283.0913
1971 2329.5461
1972 2144.1606
1973 2613.2964
1974 2281.7412
1975 2449.5476
1976 2036.5979
1977 2214.8062
1978 2468.2437
1979 1999.2468
1980 2423.1978
1981 2294.3833
1982 2694.2107
1983 2177.6367
1984 2069.6333
1985 2058.7114
1986 2892.0103
1987 2159.0579
1988 2391.4087
1989 1906.0771
1990 2447.846
1991 2846.6377
1992 2428.9312
1993 2405.8552
1994 2252.4927
1995 2715.1797
1996 2299.999
1997 2560.1494
1998 2544.3801
1999 2209.227
2000 2661.5483
2001 2583.908
2002 2281.6956
2003 2238.2786
2004 2143.461
2005 2174.802
2006 2361.1812
2007 2524.9458
2008 2764.299
2009 2410.2212
2010 2195.3984
2011 2228.342
2012 2009.0648
2013 2204.5186
2014 2528.162
2015 2431.9097
2016 2011.085
2017 2482.4463
2018 1967.3401
2019 2550.36
2020 2023.679
2021 1809.0609
2022 2617.5923
2023 2271.9043
