# contact :: wet-season potential evapotranspiration (ACP station at Barro Colorado Island, claro) - Panama drought 2023, c.barnes22@imperial.ac.uk 
# pet [mm] accumulated May-December PET at panama_pet-wetseason_acp-BCI_claro.dat
# year pet
1994 423.57
1995 455.74
1996 350.49
1997 508.09
1998 585.42
1999 491.0
2000 522.6199999999999
2001 501.4699999999999
2002 660.4300000000001
2003 545.5699999999999
2004 554.02
2005 522.5699999999999
2006 492.86
2007 442.63
2008 538.3900000000001
2009 537.05
2010 427.32
2011 457.39
2012 409.57000000000005
2013 493.08000000000004
2014 497.24
2015 550.25
2016 485.65
2017 444.72
2018 479.32000000000005
2019 410.55
2020 0.0
2021 299.1
2022 256.84000000000003
