# contact :: MSWEP wet-season precipitation - Panama drought 2023, c.barnes22@imperial.ac.uk 
# pr [mm] annual mean of May-December precipitation at panama_pr-wetseason_mswep-catchment.dat
# year pr
1979 2289.3164
1980 2261.5088
1981 2428.9395
1982 1796.3682
1983 2392.579
1984 2312.8408
1985 2086.21
1986 1929.8193
1987 2510.6484
1988 2423.7314
1989 2124.625
1990 2263.0693
1991 2125.5107
1992 2243.0898
1993 2178.245
1994 2122.6904
1995 2329.0977
1996 2289.5723
1997 1628.7197
1998 2475.084
1999 3025.8828
2000 2480.1885
2001 2223.5605
2002 2027.749
2003 2612.794
2004 2727.3467
2005 2090.6982
2006 2568.5488
2007 2799.4863
2008 2382.666
2009 2329.706
2010 3201.255
2011 2687.3223
2012 2574.5225
2013 2255.079
2014 2220.1377
2015 1974.0791
2016 2686.294
2017 2327.1182
2018 2288.5225
2019 2108.7715
2020 2290.6924
2021 2352.046
2022 2419.9043
2023 2248.3906
