# contact :: MSWX spring maxima of 1-day tmin - Sahel heat 2024, c.barnes22@imperial.ac.uk 
# tmin [degC] March-May maximum of 1-day minimum temperatures in southern Mali & Burkina Faso at sahel-heat_tn1x-mam_mali-bf_mswx.dat
# year tmin
1979 28.96819496154785
1980 29.08957290649414
1981 28.865543365478516
1982 28.291563034057617
1983 30.697938919067383
1984 29.023576736450195
1985 29.009153366088867
1986 28.92130470275879
1987 29.553852081298828
1988 29.503398895263672
1989 28.3420352935791
1990 29.299333572387695
1991 28.861591339111328
1992 27.705427169799805
1993 29.087352752685547
1994 29.05300521850586
1995 28.916767120361328
1996 29.06028938293457
1997 27.876529693603516
1998 30.403358459472656
1999 28.613693237304688
2000 29.237165451049805
2001 29.4093074798584
2002 30.1195068359375
2003 29.951805114746094
2004 30.075111389160156
2005 29.304622650146484
2006 28.320913314819336
2007 29.66888999938965
2008 29.052303314208984
2009 29.485130310058594
2010 30.703052520751953
2011 29.71579933166504
2012 29.085111618041992
2013 29.291728973388672
2014 29.447832107543945
2015 29.795896530151367
2016 30.824575424194336
2017 29.68097496032715
2018 29.795574188232422
2019 30.59499740600586
2020 30.171247482299805
2021 30.09290313720703
2022 30.521228790283203
2023 29.900386810302734
2024 30.36298370361328
