# contact :: MSWX April maxima of 3-day tmin - Sahel heat 2024, c.barnes22@imperial.ac.uk 
# tmin [degC] April maximum of 3-day minimum temperatures across West Africa region at sahel-heat_tn3x-april_-16_20_10_17_mswx.dat
# year tmin
1979 26.534971237182617
1980 27.8258113861084
1981 27.500144958496094
1982 26.98666763305664
1983 27.368968963623047
1984 27.30948257446289
1985 26.149335861206055
1986 27.220470428466797
1987 25.492427825927734
1988 27.27313232421875
1989 26.286123275756836
1990 28.19615936279297
1991 28.288944244384766
1992 26.389881134033203
1993 26.94667625427246
1994 27.807594299316406
1995 26.987104415893555
1996 26.80126190185547
1997 26.292739868164062
1998 28.4873104095459
1999 26.946744918823242
2000 26.39015769958496
2001 27.56155014038086
2002 27.218067169189453
2003 27.74134063720703
2004 27.218318939208984
2005 28.258169174194336
2006 27.121776580810547
2007 27.655393600463867
2008 26.67841911315918
2009 27.852497100830078
2010 29.28138542175293
2011 27.7252254486084
2012 27.712825775146484
2013 26.465667724609375
2014 27.470104217529297
2015 27.219478607177734
2016 28.762664794921875
2017 27.71639060974121
2018 27.688671112060547
2019 27.475553512573242
2020 28.869802474975586
2021 27.370092391967773
2022 27.491851806640625
2023 27.42047882080078
2024 27.904325485229492
