# contact :: MSWX April maxima of 3-day tmax - Sahel heat 2024, c.barnes22@imperial.ac.uk 
# tmax [degC] April maximum of 3-day maximum temperatures across West Africa region at sahel-heat_tx3x-april_-16_20_10_17_mswx.dat
# year tmax
1979 39.384307861328125
1980 40.0965690612793
1981 39.46737289428711
1982 38.75761032104492
1983 40.36347961425781
1984 38.94994354248047
1985 38.38084411621094
1986 40.91190719604492
1987 39.53982162475586
1988 40.09914779663086
1989 39.20488739013672
1990 39.74376678466797
1991 40.454010009765625
1992 38.60618591308594
1993 39.41285705566406
1994 40.75428771972656
1995 38.807220458984375
1996 38.84206771850586
1997 38.608665466308594
1998 41.06541442871094
1999 39.385372161865234
2000 40.04576873779297
2001 39.674903869628906
2002 39.30168151855469
2003 39.99869155883789
2004 39.30186080932617
2005 39.695716857910156
2006 39.339420318603516
2007 40.40961456298828
2008 39.954315185546875
2009 39.828857421875
2010 41.04838562011719
2011 40.4642333984375
2012 39.947505950927734
2013 39.348388671875
2014 40.058067321777344
2015 39.958885192871094
2016 40.609947204589844
2017 40.150978088378906
2018 40.30632019042969
2019 40.0770263671875
2020 41.052650451660156
2021 40.68958282470703
2022 40.70960235595703
2023 40.035743713378906
2024 41.709468841552734
