# contact :: MSWX spring maxima of 5-day tmax - Sahel heat 2024, c.barnes22@imperial.ac.uk 
# tmax [degC] March-May maximum of 5-day maximum temperatures across West Africa region at sahel-heat_tx5x-mam_-16_20_10_17_mswx.dat
# year tmax
1979 39.30401611328125
1980 40.049991607666016
1981 39.06740188598633
1982 38.60598373413086
1983 39.9400520324707
1984 38.81669235229492
1985 38.87940979003906
1986 40.47624969482422
1987 39.94076156616211
1988 39.93778610229492
1989 39.062705993652344
1990 39.37327194213867
1991 40.16465759277344
1992 38.43659591674805
1993 39.257808685302734
1994 40.497352600097656
1995 38.86311721801758
1996 39.30638885498047
1997 37.96696090698242
1998 40.82289123535156
1999 39.273250579833984
2000 40.01967239379883
2001 40.199058532714844
2002 40.214107513427734
2003 39.87456130981445
2004 39.85993194580078
2005 39.5808219909668
2006 39.44575119018555
2007 40.374427795410156
2008 39.70119857788086
2009 39.73630905151367
2010 40.83289337158203
2011 40.19353485107422
2012 40.21723556518555
2013 39.60592269897461
2014 39.8079948425293
2015 40.25680160522461
2016 40.4691162109375
2017 40.06294631958008
2018 40.01165008544922
2019 40.84229278564453
2020 40.95276641845703
2021 40.52785110473633
2022 40.50968551635742
2023 39.81209945678711
2024 41.56310272216797
