"","year","fitted"
"1",1983,113.009913929277
"2",1984,132.104142317933
"3",1985,148.091282056844
"4",1986,160.263154798841
"5",1987,169.513076018117
"6",1988,176.614237325188
"7",1989,180.812148471588
"8",1990,182.072572927724
"9",1991,182.249082882424
"10",1992,176.964971430613
"11",1993,169.845135694575
"12",1994,164.768201041173
"13",1995,158.20705700995
"14",1996,152.909078089791
"15",1997,153.631234199185
"16",1998,155.660110556777
"17",1999,154.379985811933
"18",2000,152.793042432639
"19",2001,150.86793358595
"20",2002,146.293536087602
"21",2003,141.312723456327
"22",2004,138.771413580886
"23",2005,137.209723702575
"24",2006,136.96860107174
"25",2007,138.558979863918
"26",2008,141.230527079316
"27",2009,143.432289205292
"28",2010,143.910879432245
"29",2011,143.892831573253
"30",2012,145.547073049695
"31",2013,152.644933162485
"32",2014,160.197105733629
"33",2015,164.568272307686
"34",2016,168.633822528755
"35",2017,171.187792749158
"36",2018,172.135591732004
"37",2019,172.29760273603
"38",2020,171.775737859301
"39",2021,170.486134273504
"40",2022,168.31662768484
"41",2023,165.173013059546
"42",2024,161.142612990515
