"","year","fitted"
"1",1981,280.875964580299
"2",1982,270.816509797747
"3",1983,261.739780853676
"4",1984,253.616489615718
"5",1985,246.439290463167
"6",1986,240.285259940816
"7",1987,235.536558303836
"8",1988,232.080573839378
"9",1989,229.252225140211
"10",1990,227.718852413594
"11",1991,226.808098416202
"12",1992,225.411843156033
"13",1993,224.197230644076
"14",1994,223.15252930171
"15",1995,222.973346808944
"16",1996,223.722543088382
"17",1997,224.43926492529
"18",1998,226.090573258033
"19",1999,228.59611301711
"20",2000,229.423906975989
"21",2001,227.208059171448
"22",2002,224.455967105408
"23",2003,220.920500233682
"24",2004,216.243120931546
"25",2005,213.534681549375
"26",2006,212.208248334632
"27",2007,210.788337059427
"28",2008,211.052974361108
"29",2009,213.735103760021
"30",2010,217.781453784923
"31",2011,222.29072858578
"32",2012,230.722501311115
"33",2013,239.762183510044
"34",2014,246.423402518039
"35",2015,253.584336629389
"36",2016,258.979274033172
"37",2017,262.475033507652
"38",2018,265.171780932393
"39",2019,266.653825148425
"40",2020,266.884678733504
"41",2021,266.085193360252
"42",2022,264.225686511991
"43",2023,261.230200326884
"44",2024,257.143519885364
