"","year","fitted"
"1",1979,160.090499905404
"2",1980,162.102668585116
"3",1981,163.769810575439
"4",1982,165.050541851217
"5",1983,165.983012041794
"6",1984,166.555783558848
"7",1985,166.434450398982
"8",1986,165.716064005932
"9",1987,165.036372962074
"10",1988,164.458130482922
"11",1989,163.752032591782
"12",1990,163.115742082725
"13",1991,162.208211069965
"14",1992,160.824896103246
"15",1993,159.368216629932
"16",1994,158.165886576863
"17",1995,157.034719115352
"18",1996,155.610782559475
"19",1997,154.878171912234
"20",1998,155.069954980874
"21",1999,154.695659285838
"22",2000,151.444718784446
"23",2001,147.969652758064
"24",2002,144.799142824916
"25",2003,140.472164416521
"26",2004,137.958313759338
"27",2005,139.18111249157
"28",2006,142.409447691021
"29",2007,145.130963743544
"30",2008,146.623366709261
"31",2009,148.189532534968
"32",2010,150.354860436534
"33",2011,152.968346439629
"34",2012,155.815711316179
"35",2013,159.327441401437
"36",2014,164.45961454794
"37",2015,170.506512703201
"38",2016,175.405928344931
"39",2017,179.167578614355
"40",2018,182.916859026157
"41",2019,186.265079618237
"42",2020,189.215353676812
"43",2021,191.933957744175
"44",2022,194.276946742347
"45",2023,196.006033425492
"46",2024,197.284311694933
