"","year","fitted"
"1",1979,172.463034885998
"2",1980,170.078908543354
"3",1981,168.123220806491
"4",1982,166.639786888502
"5",1983,165.567487393989
"6",1984,164.833063361676
"7",1985,164.285272556051
"8",1986,163.988162956579
"9",1987,164.191410924451
"10",1988,165.325950815751
"11",1989,167.284694545075
"12",1990,169.510284811381
"13",1991,172.980888736692
"14",1992,177.401216019385
"15",1993,180.303723222947
"16",1994,181.40178046987
"17",1995,181.916428045574
"18",1996,181.641627757935
"19",1997,179.768168878787
"20",1998,177.004890137252
"21",1999,175.422827527145
"22",2000,172.766446823409
"23",2001,170.400095739037
"24",2002,170.66406650016
"25",2003,171.194325776119
"26",2004,172.435244132611
"27",2005,176.268220816978
"28",2006,182.295161270232
"29",2007,187.541195348576
"30",2008,191.59746448502
"31",2009,195.827592191701
"32",2010,199.915431443507
"33",2011,202.936372853715
"34",2012,205.207263197245
"35",2013,208.274139691449
"36",2014,213.752955064009
"37",2015,220.203578667906
"38",2016,224.587922658443
"39",2017,226.960193779728
"40",2018,228.951644651735
"41",2019,229.889756243566
"42",2020,229.765919997694
"43",2021,228.884356202759
"44",2022,227.041789097115
"45",2023,223.895593575278
"46",2024,219.681285382942
