"year","fitted"
1979,197.491777956611
1980,193.801952920402
1981,190.425664132752
1982,187.38716295788
1983,184.710700760002
1984,182.420528903335
1985,180.533352876134
1986,179.022836718439
1987,177.84866962215
1988,176.970540779167
1989,176.34813938139
1990,175.941154620718
1991,176.052664777493
1992,176.851076590385
1993,178.094071938787
1994,179.53933270209
1995,180.944540759686
1996,182.067377990965
1997,183.123629831591
1998,184.373780286726
1999,185.642559090012
2000,186.754695975091
2001,187.534920675603
2002,188.204118300304
2003,189.001849888385
2004,189.780859069143
2005,190.393889471874
2006,190.693684725877
2007,190.532988460448
2008,189.770336341226
2009,188.509317022349
2010,186.970253615861
2011,185.373469233809
2012,183.939286988238
2013,182.888029991196
2014,182.050308900744
2015,181.142186750061
2016,180.212165213871
2017,179.308745966896
2018,178.480430683857
2019,177.775721039478
2020,177.223896070447
2021,176.803395123844
2022,176.486460339972
2023,176.245333859136
2024,176.052257821641
