# contact :: HighResMIP HiRAM-SIT-HR_r1i1p1f1 MAM maxima of rx30day - East Africa floods 2024, c.barnes22@imperial.ac.uk 
# rx30day [mm] March-May maximum of 30-day accumulated precipitation over Central Highlands to coast at EA-floods_rx30day-ch_highresmip_HiRAM-SIT-HR_r1i1p1f1.dat
# year rx30day
1950 136.05368041992188
1951 216.63177490234375
1952 277.3946228027344
1953 246.85287475585938
1954 212.5852813720703
1955 301.126708984375
1956 309.8216552734375
1957 208.94122314453125
1958 181.2411651611328
1959 289.75860595703125
1960 222.39840698242188
1961 246.2732391357422
1962 261.971923828125
1963 279.2800598144531
1964 299.05291748046875
1965 149.55601501464844
1966 247.09925842285156
1967 248.84156799316406
1968 208.24127197265625
1969 243.56471252441406
1970 304.9504089355469
1971 232.94287109375
1972 304.3901672363281
1973 279.6356201171875
1974 206.39495849609375
1975 183.20433044433594
1976 342.44305419921875
1977 208.9485626220703
1978 219.64727783203125
1979 212.67764282226562
1980 232.8432159423828
1981 182.95950317382812
1982 218.55299377441406
1983 268.5685119628906
1984 272.90704345703125
1985 183.0402374267578
1986 243.23069763183594
1987 168.09249877929688
1988 308.7709045410156
1989 233.65374755859375
1990 256.4698486328125
1991 302.3236083984375
1992 129.79067993164062
1993 259.919921875
1994 203.16162109375
1995 282.19158935546875
1996 171.0805206298828
1997 291.7226257324219
1998 267.35540771484375
1999 247.62669372558594
2000 239.46188354492188
2001 190.85855102539062
2002 174.27720642089844
2003 240.2336883544922
2004 202.33509826660156
2005 132.3551483154297
2006 348.3032531738281
2007 229.92677307128906
2008 175.90293884277344
2009 249.94541931152344
2010 254.0372314453125
2011 226.18516540527344
2012 305.4303894042969
2013 260.2148132324219
2014 191.8087158203125
2015 301.2378234863281
2016 210.35963439941406
2017 250.93894958496094
2018 225.5072021484375
2019 230.47877502441406
2020 301.48834228515625
2021 139.70291137695312
2022 237.0179443359375
2023 189.18089294433594
2024 283.8536682128906
