year,nino34
1854,-0.71706486
1855,-0.7162654
1856,0.4594523
1857,-2.1700592
1858,-0.0612367
1859,-0.3088379
1860,-0.9527696
1861,-1.4467005
1862,-0.7507019
1863,-0.93908817
1864,-0.8019066
1865,-0.80821675
1866,-0.98615074
1867,-0.75245476
1868,-0.43647003
1869,-0.9135971
1870,-1.7215792
1871,-1.0734526
1872,-0.8678036
1873,-1.3889338
1874,-1.2820543
1875,-0.9626147
1876,-0.86329967
1877,0.2893251
1878,1.5801964
1879,-1.1534029
1880,-1.3837465
1881,-0.10548782
1882,-0.4323705
1883,-0.6270415
1884,-0.0244236
1885,0.24841373
1886,0.1567707
1887,-2.0721195
1888,0.091360725
1889,1.5930424
1890,-1.9030851
1891,0.045740128
1892,-0.5387332
1893,-1.2600332
1894,-1.1424109
1895,-0.88380307
1896,0.010908763
1897,0.8072796
1898,-0.61828613
1899,-0.8413086
1900,0.9496568
1901,-0.061219532
1902,-0.22717412
1903,1.2144483
1904,-1.1410332
1905,0.7914664
1906,0.4802386
1907,-0.9046669
1908,-0.12713432
1909,-1.2248625
1910,-1.3121458
1911,-0.93165016
1912,1.0352644
1913,-0.5383561
1914,0.75560826
1915,0.9188811
1916,-0.9518757
1917,-1.6091226
1918,-0.6830966
1919,1.0240408
1920,0.7030156
1921,-0.87606746
1922,-0.055891037
1923,-0.89499855
1924,0.29773903
1925,-1.3157158
1926,0.80060196
1927,-0.7944991
1928,-0.24924977
1929,-0.4707775
1930,0.23446782
1931,0.7446429
1932,-0.86349934
1933,-0.7963727
1934,-1.1508688
1935,-0.54731435
1936,-0.5168991
1937,-0.75931674
1938,-0.98798245
1939,-1.3034395
1940,0.025128683
1941,1.2759432
1942,0.06420517
1943,-2.1052125
1944,-0.695226
1945,-1.320125
1946,-0.99968404
1947,-0.073306404
1948,0.20930798
1949,-0.607907
1950,-1.6964226
1951,-0.9109141
1952,-0.048217773
1953,-0.10348829
1954,0.27713203
1955,-0.8181922
1956,-1.1147226
1957,-0.4947567
1958,1.1102091
1959,0.10931206
1960,-0.4854037
1961,-0.47240385
1962,-0.61472255
1963,-0.81212807
1964,0.39803377
1965,-0.72914314
1966,0.8203621
1967,-0.6543274
1968,-0.68282956
1969,0.47036552
1970,-0.108675
1971,-1.3424244
1972,-0.7840786
1973,1.0939058
1974,-1.7502989
1975,-0.58745956
1976,-1.3407198
1977,0.2766851
1978,0.25063515
1979,-0.3736
1980,-0.0039564767
1981,-0.49631563
1982,-0.39422926
1983,1.4726213
1984,-0.95831615
1985,-1.1828779
1986,-0.7875118
1987,0.727361
1988,0.00566419
1989,-1.8822645
1990,-0.31745467
1991,-0.03021876
1992,1.3328298
1993,-0.11557642
1994,-0.250316
1995,0.50111264
1996,-1.2072893
1997,-0.71752167
1998,1.220499
1999,-1.7493057
2000,-1.8567892
2001,-1.0278149
2002,-0.6322625
2003,0.16738193
2004,-0.3094635
2005,-0.06793467
2006,-1.2631525
2007,-0.02251943
2008,-1.7858461
2009,-1.2429549
2010,0.65291214
2011,-1.6537775
2012,-1.173221
2013,-1.0135695
2014,-0.9182625
2015,-0.14355405
2016,1.2771555
2017,-1.094429
2018,-1.3858643
2019,-0.010495503
2020,-0.4124247
2021,-1.4469084
2022,-1.4872189
2023,-1.1833439
2024,0.45767274
