"group","model","est","lower","upper","l_wb","u_wb"
"obs","CPC*",1238.75140852145,39.6042275284729,37906353.1685273,4.00013760343354,100277865.580568
"obs","ERA5",36.4956525619516,10.0045386718967,3062.42860700278,0.310650522221509,21464.1684037565
"obs","MSWX**",3062.42860700278,80.2823534596015,169982262.76804,8.75943535732874,428259141.428149
"obs_synth","Observations",517.325344846449,2.40644722049845,8547431.78338934,NA,NA
"models","ACCESS-CM2",161.285,7.157,9999.99999999997,1.6536591478331,32980.9298216742
"models","ACCESS-ESM1-5",31.444,11.107,838.575999999999,0.935120323721325,3444.57755364496
"models","CanESM5*",9999.99999999997,98.4349999999999,9999.99999999997,33.0590504270985,287238.470755099
"models","CMCC-ESM2",16.251,2.88300000000001,5757.26000000002,0.372047059380612,14054.4739082277
"models","EC-Earth3",9999.99999999997,33.7900000000001,9999.99999999997,13.5088043945266,287238.470755099
"models","EC-Earth3-Veg",81.6770000000001,14.9380000000001,9999.99999999997,1.89597238736785,28762.255125386
"models","EC-Earth3-Veg-LR",13.445,3.45899999999999,5046.63700000002,0.359442865478332,12226.8280495293
"models","FGOALS-g3",281.581999999999,12.6759999999999,9999.99999999997,2.91538424516209,37846.9350887623
"models","INM-CM4-8",9999.99999999997,155.126000000001,9999.99999999997,47.4449314716609,287238.470755099
"models","INM-CM5-0",9999.99999999997,177.718000000001,9999.99999999997,52.7062660109276,287238.470755099
"models","MPI-ESM1-2-HR",1231.19,12.1170000000001,9999.99999999997,4.06959438992093,64422.8158486472
"models","MPI-ESM1-2-LR",2.478,0.425,49.984,0.0558531003321064,224.300890591738
"models","MRI-ESM2-0",8.096,2.492,85.3009999999999,0.230593882810856,489.080816040917
"models","NorESM2-MM",55.5259999999998,15.072,9999.99999999997,1.51406577487406,26936.5678514591
"models","CAM-22_MOHC-HadGEM2-ES_RegCM4-7*",25.0513191345395,6.13736047053182,1703.63872320737,0.657378882180721,5505.21344945176
"models","CAM-22_MPI-M-MPI-ESM-MR_RegCM4-7*",642.940118266292,12.1315844311915,95703876.1783044,3.54779783448253,152245889.877196
"models","CAM-22_NOAA-GFDL-GFDL-ESM2M_CRCM5*",4740.55792360365,22.7083978750115,43127903307.9699,8.62779304383472,61080726528.7524
"models","CAM-22_NOAA-GFDL-GFDL-ESM2M_RegCM4-7*",22.3215819102243,3.40687087247778,6278.16691625684,0.475903304935933,15815.8862527312
"models","CAM-44_CCCma-CanESM2_RCA4*",23.3676325837173,8.73110752240564,447.971982022929,0.706297399174735,2044.94869665246
"models","CAM-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_RCA4*",114.234936600376,20.1277603180959,20883.7950937882,2.60708765215708,56119.1948947247
"models","CAM-44_ICHEC-EC-EARTH_RCA4*",168.487481139617,9.35734775760375,983585.779076226,2.00617875081106,1841892.15607282
"models","CAM-44_MIROC-MIROC5_RCA4*",16.4179894743938,4.002773557302,1132.91369110147,0.430020045626183,3649.3873774976
"models","CAM-44_MOHC-HadGEM2-ES_RCA4*",13.0315746067819,3.49457540625404,675.778437729047,0.353775014191009,2322.76181472447
"models","CAM-44_MPI-M-MPI-ESM-LR_RCA4*",127.579405953606,25.5912210821543,15806.9935616179,3.08480701684226,45367.2822556278
"models","CAM-44_NCC-NorESM1-M_RCA4*",747.545903890681,43.3448148545489,3834776.06424524,9.15370751516375,7244875.01230284
"models","CAM-44_NOAA-GFDL-GFDL-ESM2M_RCA4*",252.279071423322,12.0054357091666,2340944.49264559,2.71178775799523,4254909.82658372
"models","EC-Earth3P-HR**",9999.99999999997,24368.2037459802,691.081788286767,309.972939577365,730537.490316163
"models","HadGEM3-GC31-HM*",271.800050210843,11.7165488991212,3393118.30673687,2.73224501098284,6059208.08774274
"models","MPI-ESM1-2-XR**",9999.99999999997,115.190485064531,6542597129.11902,37.5133006124078,9903384824.47409
"model_synth","Models",178.627698670213,5.95037755750959,5593.42655762341,NA,NA
"synth","Synthesis",214.207828807112,11.0316266042087,5823.37054000323,12.658710532348,52548.8956993393
