"group","model","est","lower","upper","l_wb","u_wb"
"models","ACCESS-CM2",1.960784314,1.644736842,2.331002331,1.64456649430959,2.33124770236796
"models","ACCESS-ESM1-5",1.964636542,1.652892562,2.364066194,1.65271841526104,2.36429875476617
"models","CanESM5",1.956947162,1.666666667,2.369668246,1.66647771396792,2.36989370105532
"models","CMCC-ESM2",1.972386588,1.683501684,2.433090024,1.68330818296318,2.43330106101615
"models","EC-Earth3",1.893939394,1.663893511,2.2172949,1.66365967318933,2.21755097907192
"models","EC-Earth3-Veg",1.930501931,1.647446458,2.242152466,1.64725732218422,2.24242520089617
"models","EC-Earth3-Veg-LR",1.930501931,1.709401709,2.283105023,1.70914596767502,2.28335279411048
"models","FGOALS-g3",1.897533207,1.607717042,2.247191011,1.60754046411053,2.24743291034969
"models","INM-CM4-8",1.960784314,1.46627566,2.7100271,1.4661837946181,2.71017958996558
"models","INM-CM5-0",1.992031873,1.633986928,2.624671916,1.63383678899748,2.62484520162188
"models","MPI-ESM1-2-HR",1.941747573,1.661129568,2.283105023,1.66093585446915,2.28336167498074
"models","MPI-ESM1-2-LR",1.897533207,1.57480315,2.247191011,1.57464936674781,2.24743291034969
"models","MRI-ESM2-0",1.788908766,1.560062402,2.092050209,1.55985496662203,2.09229350491462
"models","NorESM2-MM",1.972386588,1.689189189,2.309468822,1.68899081287492,2.30973530255559
"models","CAM-22_MOHC-HadGEM2-ES_RegCM4-7",1.90239699738598,1.82766669166414,1.9639654286446,1.82684101647701,1.96507871991072
"models","CAM-22_MPI-M-MPI-ESM-MR_RegCM4-7",1.91765594389048,1.79772098563263,1.98795218145998,1.79721526229164,1.98895102161209
"models","CAM-22_NOAA-GFDL-GFDL-ESM2M_CRCM5",1.99545470233323,1.96197394996181,1.99994847018053,1.95992670726603,2.00834805382151
"models","CAM-22_NOAA-GFDL-GFDL-ESM2M_RegCM4-7",1.94492640314231,1.84179062077344,1.99730993584826,1.84117703027173,1.99866173506174
"models","CAM-44_CCCma-CanESM2_RCA4",1.86123112172686,1.75797731910123,1.96834441278413,1.75741805678138,1.96898326235099
"models","CAM-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_RCA4",1.97891499209294,1.9046842209609,1.9996820450565,1.90378279931851,2.00292187799274
"models","CAM-44_ICHEC-EC-EARTH_RCA4",1.93103684984284,1.83123828562453,1.99248312056485,1.83061197759098,1.99363122164372
"models","CAM-44_MIROC-MIROC5_RCA4",1.89826953493248,1.82889063796022,1.96053884783836,1.82800215609318,1.96163578565201
"models","CAM-44_MOHC-HadGEM2-ES_RCA4",1.85294443658915,1.76811417935382,1.9355853642847,1.76743005882546,1.93638951512879
"models","CAM-44_MPI-M-MPI-ESM-LR_RCA4",1.9670671818929,1.89089739605241,1.99599084285831,1.89003070454369,1.99838420172625
"models","CAM-44_NCC-NorESM1-M_RCA4",1.95651907079245,1.88356306954652,1.99723446302633,1.88266629785542,1.99896471100824
"models","CAM-44_NOAA-GFDL-GFDL-ESM2M_RCA4",1.95301313963931,1.87284852468464,1.9954477150869,1.87203915183222,1.99710686884994
"models","EC-Earth3P-HR",1.96937311936573,1.90711182371807,1.99841871922469,1.90604043897247,2.00080832016494
"models","HadGEM3-GC31-HM",1.9689104746964,1.90418596136089,1.99780127553517,1.90315715199225,2.00020136836776
"models","MPI-ESM1-2-XR",1.92174956016598,1.83797666786111,1.9889597700607,1.8372292799492,1.99000569364884
"model_synth","Models",1.96335179957326,1.94150494906016,1.97752698485427,NA,NA
