# contact :: ERA5 June DSR in the Brazilian Pantanal (1979 onwards) - Pantanal wildfires 2024, c.barnes22@imperial.ac.uk 
# dsr [] June accumulated daily severity rating averaged over the Brazilian Pantanal at pantanal-fires_dsr-june_era5.dat
# year dsr
1979 96.39865
1980 81.46977
1981 31.865658
1982 43.736183
1983 19.751282
1984 126.59214
1985 151.83078
1986 97.361855
1987 38.087135
1988 40.75886
1989 32.344334
1990 26.79808
1991 60.934338
1992 88.1827
1993 60.829605
1994 41.45652
1995 103.3421
1996 59.22323
1997 26.408567
1998 65.57058
1999 114.651146
2000 202.60614
2001 60.9763
2002 183.63899
2003 152.63773
2004 124.64736
2005 211.37653
2006 178.15968
2007 219.79745
2008 82.69351
2009 76.62486
2010 232.14217
2011 175.09526
2012 34.113754
2013 41.577717
2014 71.5116
2015 69.64392
2016 50.25903
2017 71.58291
2018 110.6389
2019 255.92033
2020 182.61705
2021 140.65048
2022 99.10118
2023 88.23877
2024 490.07394
