# contact :: MSWX July-June precipitation in the Brazilian Pantanal - Pantanal wildfires 2024, c.barnes22@imperial.ac.uk 
# pr [mm/year] July-June accumulated precipitation (labelled in June) averaged over the Brazilian Pantanal at pantanal-fires_pr-jj_mswx.dat
# year pr
1979 722.4369
1980 1452.5896
1981 1361.1543
1982 1374.56
1983 1607.4951
1984 1284.2942
1985 1458.0159
1986 1226.2686
1987 1424.5156
1988 1589.768
1989 1402.2906
1990 1522.7102
1991 1589.2283
1992 1433.3828
1993 1409.9265
1994 1301.4727
1995 1647.0781
1996 1281.5042
1997 1606.2522
1998 1220.5156
1999 1283.7848
2000 1136.0583
2001 1285.9607
2002 1270.1976
2003 1065.867
2004 1053.9131
2005 979.70715
2006 1105.8857
2007 1291.2283
2008 1251.0884
2009 1010.7644
2010 1227.4136
2011 1260.5234
2012 1211.6028
2013 1150.4814
2014 1222.0955
2015 1245.1543
2016 1263.4839
2017 1275.4259
2018 1288.4437
2019 1045.9292
2020 852.2889
2021 715.99725
2022 902.22296
2023 1036.4338
2024 659.0522
2025 4.710415
