# contact :: ERA5 July-June precipitation in the Brazilian Pantanal - Pantanal wildfires 2024, c.barnes22@imperial.ac.uk 
# pr [mm/year] July-June accumulated precipitation (labelled in June) averaged over the Brazilian Pantanal at pantanal-fires_pr-jj_era5-05.dat
# year pr
1979 1433.1519
1980 1605.7906
1981 1494.2183
1982 1517.7163
1983 1762.593
1984 1407.8063
1985 1618.3948
1986 1346.1895
1987 1535.9911
1988 1752.5166
1989 1530.5348
1990 1658.65
1991 1728.8672
1992 1588.4679
1993 1560.3683
1994 1418.2965
1995 1794.3713
1996 1413.8002
1997 1758.9017
1998 1355.0406
1999 1412.8011
2000 1262.894
2001 1413.7051
2002 1405.4971
2003 1162.7338
2004 1164.6018
2005 1081.7201
2006 1224.2798
2007 1434.0334
2008 1372.1809
2009 1176.5673
2010 1349.4314
2011 1398.4216
2012 1322.1158
2013 1252.1394
2014 1355.4233
2015 1335.9264
2016 1416.7393
2017 1393.3865
2018 1432.9954
2019 1153.553
2020 934.69495
2021 787.1674
2022 994.5468
2023 1144.3873
2024 733.0294
