year,dayofyear
1970,139.0
1971,87.0
1972,102.0
1973,115.0
1974,114.0
1975,137.0
1976,95.0
1977,80.0
1978,110.0
1979,117.0
1980,155.0
1981,83.0
1982,104.0
1983,153.0
1984,143.0
1985,56.0
1986,99.0
1987,96.0
1988,137.0
1989,102.0
1990,71.0
1991,74.0
1992,208.0
1993,156.0
1994,75.0
1995,61.0
1996,134.0
1997,103.0
1998,154.0
1999,82.0
2000,118.0
2001,113.0
2002,133.0
2003,96.0
2004,87.0
2005,101.0
2006,122.0
2007,100.0
2008,94.0
2009,94.0
2010,85.0
2011,137.0
2012,79.0
2013,100.0
2014,118.0
2015,93.0
2016,96.0
2017,191.0
2018,77.0
2019,65.0
2020,119.0
2021,57.0
2022,83.0
2023,112.0
2024,83.0
2025,116.0
2026,130.0
2027,84.0
2028,74.0
2029,143.0
2030,159.0
2031,91.0
2032,85.0
2033,64.0
2034,95.0
2035,61.0
2036,84.0
2037,194.0
2038,89.0
2039,118.0
2040,107.0
2041,141.0
2042,76.0
2043,79.0
2044,111.0
2045,141.0
2046,124.0
2047,145.0
2048,108.0
2049,81.0
2050,114.0
2051,96.0
2052,116.0
2053,102.0
2054,85.0
2055,105.0
2056,58.0
2057,83.0
2058,26.0
2059,106.0
2060,105.0
2061,185.0
2062,110.0
2063,147.0
2064,81.0
2065,101.0
2066,106.0
2067,129.0
2068,70.0
2069,103.0
2070,74.0
2071,127.0
2072,128.0
2073,85.0
2074,79.0
2075,214.0
2076,109.0
2077,111.0
2078,103.0
2079,89.0
2080,316.0
2081,75.0
2082,154.0
2083,104.0
2084,118.0
2085,167.0
2086,103.0
2087,93.0
2088,111.0
2089,107.0
2090,118.0
2091,106.0
2092,138.0
2093,79.0
2094,71.0
2095,123.0
2096,67.0
2097,98.0
2098,78.0
2099,131.0
2100,261.0
