year,tn
1950,9.498607635498047
1951,9.936995506286621
1952,9.533060073852539
1953,10.816353797912598
1954,11.015096664428711
1955,9.82964038848877
1956,9.425581932067871
1957,13.219908714294434
1958,9.40225887298584
1959,9.199445724487305
1960,11.090714454650879
1961,10.827404975891113
1962,8.0730619430542
1963,9.41630744934082
1964,8.816841125488281
1965,7.9993367195129395
1966,9.931610107421875
1967,9.676956176757812
1968,8.942386627197266
1969,9.618916511535645
1970,9.96453857421875
1971,10.07585334777832
1972,13.104642868041992
1973,11.039739608764648
1974,10.227192878723145
1975,10.092864990234375
1976,9.011929512023926
1977,9.490117073059082
1978,9.198119163513184
1979,10.124760627746582
1980,10.84111213684082
1981,9.80356502532959
1982,9.000459671020508
1983,9.756133079528809
1984,10.040164947509766
1985,10.092799186706543
1986,10.510336875915527
1987,7.985317707061768
1988,12.146855354309082
1989,10.61154842376709
1990,10.067987442016602
1991,10.31982135772705
1992,9.08464241027832
1993,10.105623245239258
1994,11.667227745056152
1995,9.37596607208252
1996,9.306307792663574
1997,10.72623062133789
1998,10.256213188171387
1999,11.00418472290039
2000,11.478959083557129
2001,11.00029182434082
2002,10.987549781799316
2003,13.170004844665527
2004,11.824480056762695
2005,10.846529960632324
2006,10.427535057067871
2007,11.2335786819458
2008,9.61129379272461
2009,10.392664909362793
2010,11.86538314819336
2011,11.808215141296387
2012,9.697409629821777
2013,11.274869918823242
2014,12.648639678955078
2015,9.152542114257812
2016,10.667218208312988
2017,9.715063095092773
2018,13.89549732208252
2019,10.648219108581543
2020,10.170401573181152
2021,12.548495292663574
2022,11.898931503295898
2023,11.328755378723145
2024,12.26816177368164
