# contact :: CORDEX SAM-22_MOHC-HadGEM2-ES_historical_r1i1p1_ICTP-RegCM4-7_v0 NDJ PET - Patagonia wildfires, c.barnes22@imperial.ac.uk 
# pet-ndj [mm/day] November-January daily mean potential evapotranspiration rate (Hargreaves method) averaged over Chile at sam-fires_pet-ndj_chile2026_SAM-22_MOHC-HadGEM2-ES_historical_r1i1p1_ICTP-RegCM4-7_v0.dat
# year pet-ndj
1971 5.514198888274284
1972 5.510587245495813
1973 5.282713409965529
1974 5.418248175698208
1975 5.590476373662388
1976 5.492128378411105
1977 5.458312075668816
1978 5.875922472802449
1979 5.378252858319789
1980 5.3520841181007395
1981 5.301856075945703
1982 4.96671706087496
1983 5.572562615228091
1984 5.271101582840844
1985 5.687249503977013
1986 5.3219019866374655
1987 5.652548685622795
1988 5.271687784835938
1989 5.936805991472439
1990 5.451143464259686
1991 5.749996736251595
1992 5.88728139078748
1993 5.633328270187536
1994 5.3688292069823405
1995 5.531630588045305
1996 5.145245865781345
1997 5.675130267479982
1998 5.422913837736269
1999 6.001413992975927
2000 5.265537564267975
2001 5.51438700213592
2002 5.2043190297512325
2003 5.558700924437012
2004 5.916523583852841
2005 5.853181105229791
