# contact :: ERA5-Land Chile NDJ PET - Patagonia wildfires, c.barnes22@imperial.ac.uk 
# pet-ndj [mm/day] November-January daily mean potential evapotranspiration rate (Hargreaves method), averaged over Chile at sam-fires_pet-ndj_chile2026_era5land.dat
# year pet-ndj
1978 4.9478002357035455
1979 4.713979177760179
1980 4.394227063915036
1981 4.339726006256305
1982 4.628488443337271
1983 4.581232568497158
1984 4.90905210343701
1985 4.3574583636285675
1986 4.626682380132544
1987 4.531377189709672
1988 4.673852914749946
1989 4.750864326942163
1990 4.560677139979144
1991 4.48500594816533
1992 4.378436694339599
1993 4.465092990460938
1994 4.512464155107262
1995 4.4747948063003165
1996 4.761330591300258
1997 4.548279482639482
1998 4.328457529724535
1999 4.7621915149067675
2000 4.6099616538808545
2001 4.488480459001419
2002 4.801275142271949
2003 4.360283195453299
2004 4.469462095246982
2005 4.439472936252659
2006 4.545427113537508
2007 4.429611345565439
2008 4.709228711274443
2009 4.93252052587192
2010 4.264006013487787
2011 4.416120316237422
2012 4.737300536881398
2013 4.416781191738937
2014 4.7895458015988
2015 4.749089252718583
2016 4.6071484282871
2017 4.857475218880806
2018 4.604414771552378
2019 4.513312999189934
2020 4.826189536468357
2021 4.720130705362488
2022 4.758796954960363
2023 4.91905273388128
2024 4.5940852563569265
2025 4.844884937071698
2026 5.053527564091971
