# contact :: CPC Rx1day-ONDJFM precipitation (southern region) - Mediterranean storms, c.barnes22@imperial.ac.uk 
# rx1day [mm/day] Annual maximum of October-March daily precipitation (labelled at end of season) averaged over southern region at med-storms_rx1day-ondjfm_s_cpc.dat
# year rx1day
1979 20.16704559326172
1980 27.91782569885254
1981 16.50551986694336
1982 22.184839248657227
1983 35.405616760253906
1984 25.09812355041504
1985 23.62213897705078
1986 15.521978378295898
1987 22.607192993164062
1988 23.30198097229004
1989 15.615547180175781
1990 26.61669158935547
1991 24.369585037231445
1992 19.169095993041992
1993 16.56255340576172
1994 18.822107315063477
1995 16.87375831604004
1996 27.31849479675293
1997 25.548978805541992
1998 29.79945182800293
1999 12.45527458190918
2000 37.22804260253906
2001 24.168092727661133
2002 31.24997901916504
2003 31.100772857666016
2004 23.61033821105957
2005 17.861125946044922
2006 21.835649490356445
2007 19.357358932495117
2008 28.814441680908203
2009 28.218523025512695
2010 40.93496322631836
2011 30.182056427001953
2012 21.804460525512695
2013 22.90679359436035
2014 27.525936126708984
2015 23.964082717895508
2016 13.469605445861816
2017 22.29567527770996
2018 25.77250099182129
2019 23.188203811645508
2020 22.4208927154541
2021 21.08521270751953
2022 17.20400047302246
2023 23.034284591674805
2024 32.85210418701172
2025 20.91886329650879
2026 28.172136306762695
